pair_index,seed,heisenberg_best_loss,heisenberg_best_iteration,heisenberg_final_loss,heisenberg_success,warmstart_best_loss,warmstart_best_iteration,warmstart_final_loss,warmstart_success,mixed_stage_best_loss,mixed_stage_best_iteration
150,1191,24.505876301463367,105,24.78038900323569,False,0.03760584675099066,99,0.0742040136367508,False,0.0008579367669192985,141
151,1192,23.295613928604073,143,23.297580160503983,False,0.009860168083939498,64,0.11801711148251899,True,0.00015035143180030077,148
152,1193,27.490385988015518,149,28.100053126394727,False,0.018016377859351375,78,0.06633711047465073,False,0.0009179896854060073,144
153,1194,26.127664791279205,144,26.448286353187488,False,0.02485389323431024,82,0.05007844651724289,False,0.00013821586902116153,120
154,1195,21.694848555373355,147,21.784216919405885,False,22.091097604290024,149,22.23296206387758,False,2.8036506836748885,150
155,1196,17.327960741977584,118,18.083366947159888,False,0.03176451048438497,49,0.10636511533896158,False,0.0002330123591828349,150
156,1197,33.383676700754314,137,33.547564430695616,False,0.016070450391288325,61,0.07329433891843595,False,0.00013207582008411365,133
157,1198,33.538069014537314,107,34.176644993715016,False,0.0011904616465796291,112,0.0076848173819147585,True,0.016921154250590098,150
158,1199,39.14941820894975,128,39.37833554911283,False,0.01242061896651729,121,0.02999018795526552,False,0.00020460569016853775,150
159,1200,26.82279549394488,143,27.619104465403105,False,0.02192440539326765,56,0.0606261517879754,False,6.606826221496038e-05,150
160,1201,34.92781486532328,140,35.08188319245869,False,0.02033270983236524,53,0.06959521994838662,False,0.009559481206288809,150
161,1202,32.33219219777952,147,32.58082602383014,False,0.0013014092289632948,104,0.02281999680145374,True,0.0006853164905596813,137
162,1203,29.26112204707188,132,29.43155791278737,False,0.01239462823130351,123,0.209636194582998,False,0.005108214026486618,145
163,1204,8.792797502820255,104,9.164070381561405,False,0.016138522527346648,44,0.1462481124907844,False,0.00011660860741568801,136
164,1205,25.03960904148041,95,25.228895749207524,False,18.47028835412032,145,18.549696775358957,False,2.8043050477975355,150
165,1206,37.24894117111578,144,37.598874215327314,False,0.006929080840940351,81,0.049535763523918266,True,0.0002466797426949795,146
166,1207,29.475323074079313,91,29.841307922827227,False,0.0005401054806152606,85,0.1960887777194611,True,0.00024869472975616624,150
167,1208,31.619635846257218,139,32.71066136599607,False,0.0031717794792641297,81,0.07012341146224764,True,0.00011243906093313163,150
168,1209,28.99094356190068,142,29.130892015432554,False,18.338693662954324,150,18.338693662954324,False,2.797718957398577,145
169,1210,15.39358860142123,132,16.080529758525714,False,0.0027251949219895483,56,0.10993837958687587,True,6.489461421296249e-05,145
170,1211,33.48371841479089,150,33.48371841479089,False,0.024091041575870636,53,0.08074483416124645,False,0.00024381405044129504,142
171,1212,20.930104626182214,143,21.077797632068425,False,0.0009084726087050554,77,0.019020675662521018,True,0.00022117484583335014,147
172,1213,0.01637996837314583,150,0.01637996837314583,False,0.00840742882403567,146,0.03363080140816958,True,0.00015027886849512982,116
173,1214,28.260487603111336,147,28.461018621312395,False,0.012871902044739435,52,0.14297823852511615,False,0.0001462106878071018,146
174,1215,10.002057316086264,150,10.002057316086264,False,18.004477797664553,144,18.331975405691598,False,2.835514232784921,150
175,1216,33.44100692947829,132,33.541294896186415,False,0.009418571648405845,140,0.018343947072981075,True,0.09981630468500964,144
176,1217,27.660694278594356,140,27.889969039610932,False,0.023239468867638936,51,0.06633683127728779,False,0.00033040238149508144,133
177,1218,35.20645523645237,99,35.2900333504292,False,0.02410558589540839,97,0.02637823049354644,False,0.00014359905321293612,125
178,1219,29.98562509728028,119,30.13710899617134,False,0.02629400336924394,56,0.09135304293411861,False,0.0003778576469565733,141
179,1220,17.742011766997674,124,18.025416057757077,False,22.063139476033435,112,22.10077474434337,False,2.8163677542662433,150
180,1221,37.465490181072326,150,37.465490181072326,False,0.01806117244527054,69,0.1754712257733852,False,0.0002028298941448818,149
181,1222,36.31905186120858,145,36.781352066731415,False,0.02239065045526201,53,0.08393379429836978,False,0.0001997201616361823,131
182,1223,0.05011569350278011,146,0.05168852535378012,False,0.009600795505404627,80,0.06353851569602419,True,0.00044821910702705115,149
183,1224,27.353343406296354,115,27.773954041451816,False,0.0004119537723803338,125,0.0013084652002515803,True,0.09949753827476362,150
184,1225,13.464135134325405,149,13.599032305519039,False,0.008261012612368224,66,0.03515563391614955,True,0.00014484884984864626,150
185,1226,31.52343865645026,150,31.52343865645026,False,0.017854523406703248,70,0.1724418180393093,False,0.0009832318888791745,141
186,1227,30.06703547368416,129,30.30548664111638,False,22.14658253508034,122,22.37912697497312,False,2.824636866646545,150
187,1228,30.11046113041269,140,30.36114086690889,False,0.01938173721110626,59,0.09358998181957051,False,0.00023523175508178797,149
188,1229,23.606513425480593,110,24.1062132020811,False,0.0007536482075488399,85,0.01506315824912133,True,0.0016000764538430991,150
189,1230,8.93511390528042,150,8.93511390528042,False,17.225183043595138,122,17.415538119326925,False,2.7987107799330677,150
190,1231,17.938501139516397,150,17.938501139516397,False,0.010197866580953497,61,0.057817017656587866,False,0.0003642222185578626,150
191,1232,24.302311021952136,149,24.47235839882822,False,0.004658650892179138,84,0.04650980490467383,True,0.0001705185467523021,150
192,1233,0.003907562636847796,98,0.035520065803630194,True,0.0027125792118142884,77,0.009277318251727156,True,0.0012887638295997058,150
193,1234,40.15466420533747,79,40.254365043598035,False,0.017878818177752127,90,0.10862893520286541,False,0.0006304295406315833,148
194,1235,38.948831424964666,146,39.041814232813245,False,0.002856560614831875,91,0.007725805384005672,True,0.0022151950011434773,150
195,1236,35.139552144972306,141,35.2645696333702,False,0.001824883768947363,83,0.12085863139476322,True,0.00035716763063048005,149
196,1237,28.004301225520322,133,28.52492199605298,False,0.0033763353952677246,79,0.08769328419839316,True,0.000578804700623402,145
197,1238,31.224338452232193,103,31.35343035380187,False,22.105485491632244,94,22.164398425860064,False,2.8239054266428836,145
198,1239,33.54996029232855,129,33.903399658767164,False,17.908359556899352,147,18.66266604013243,False,2.8524164377311862,150
199,1240,32.087688197891346,130,32.20676762216853,False,0.00192015144720482,65,0.012531507716453765,True,0.0006921909765151536,149
200,1241,37.95785467511718,91,38.18033533679327,False,0.00045236856957376383,89,0.00801217800381781,True,0.000553022828554896,141
201,1242,0.004565906301001248,145,0.0053587168141889996,True,0.004893901754623099,133,0.021867328516896007,True,0.00045668700655521503,150
202,1243,29.728545801524294,136,29.991828264074115,False,0.006147417730216156,131,0.06354916144733835,True,0.00036568615757794185,142
203,1244,28.476172569385554,122,28.516408492328832,False,0.02035996942906716,51,0.10635299481612084,False,0.0003057476951263735,126
204,1245,21.28065528156849,148,21.392259074909596,False,0.007042081704934533,150,0.007042081704934533,True,7.272563958399305e-05,149
205,1246,29.045250312279265,140,29.254262687689987,False,21.792554090362174,76,21.95838737067176,False,2.856114231263496,150
206,1247,23.314088997928486,115,23.346481131246037,False,0.0005964668742977775,115,0.0018996130575366773,True,0.00040619506182237083,145
207,1248,21.19840185038411,125,21.700989793745215,False,0.02566526628946817,63,0.18172696406060768,False,0.00021713789129393216,146
208,1249,17.753158331322766,97,18.400222371990978,False,22.130787404910983,147,22.290309119708915,False,2.832531696366636,150
209,1250,21.811591696132865,132,22.359361181432966,False,0.002903766829730137,66,0.1467946483202433,True,0.00022069614308543455,150
210,1251,26.285421469239477,141,26.506237992950346,False,1.9147844920703077,103,1.9907260880840107,False,0.09409961330583898,150
211,1252,0.022498296316736558,112,0.04909168490059256,False,22.093827201560114,102,22.12714921310623,False,2.8073766622529903,150
212,1253,20.5768951272424,147,20.90221404464835,False,22.089763132398424,133,22.114627448170886,False,2.804681366002552,148
213,1254,31.237046206332195,128,31.58258458251246,False,0.012488411819846544,121,0.01685401991348458,False,0.08553846394133392,148
214,1255,1.808353766281798,139,2.1168973330813152,False,0.0022559127565966557,58,0.07253132704938252,True,0.00014698164312673922,150
215,1256,34.45893079799228,129,34.6154551010968,False,0.01233376183868971,52,0.09933405539598994,False,0.00017293687261145393,133
216,1257,35.38147580293838,120,35.59015652900655,False,0.002792489950169529,67,0.013798818037162854,True,0.0003181980475957214,142
217,1258,37.85347100749022,108,37.881860622908796,False,0.0008507901819790756,90,0.05233330689020077,True,0.00015910587424229866,131
218,1259,33.00899220612099,100,33.399733211512675,False,0.005188480469393533,147,0.03254901035554547,True,0.0034603597804261053,146
219,1260,24.917260806138653,149,25.242035809777775,False,0.002808621240067412,76,0.055775216641768474,True,0.00011370140194503828,145
220,1261,36.07628300139737,133,36.15947173126473,False,0.00948775700537845,89,0.05445476099117925,True,0.0002476187043266861,142
221,1262,31.785405450139777,147,32.04916052461121,False,0.0008626135484129172,137,0.002109214041968654,True,0.0007796989267498251,150
222,1263,0.02028942531168125,150,0.02028942531168125,False,0.0019363306878519761,111,0.004728973117238927,True,0.0673404805748477,150
223,1264,19.320321202188058,111,19.578674341239832,False,0.04137602685339681,54,0.13320556742621026,False,0.0002592983138648971,150
224,1265,32.4946682520767,108,32.58422806718022,False,0.05118122951293265,80,0.10545191750243557,False,0.00020692642646165577,150
225,1266,37.148576952086344,116,37.28868375215251,False,0.010315512579103675,56,0.06346822236979105,False,6.592963581343288e-05,149
226,1267,24.772330107794534,127,25.5129190503284,False,0.0212895645377011,56,0.10674724676771222,False,0.0023043342798081115,150
227,1268,15.311865125845266,141,15.641911111038981,False,0.0021122709509377494,98,0.05773931226643683,True,0.0010829057450133972,150
228,1269,38.87272282052221,143,38.950840376940896,False,0.0005113570146253085,74,0.06521361997046714,True,1.6466776461501413e-05,149
229,1270,29.220971064654833,111,29.533935985463355,False,0.028167429225628073,99,0.07677851529347608,False,0.0015791789905495153,138
230,1271,36.097249532196734,96,36.34828061452846,False,0.017960220658767408,50,0.04067098711319352,False,0.00046941888551700167,147
231,1272,33.4479792723878,108,33.609851062905975,False,0.0014082317529224857,72,0.2823360285633436,True,0.0032323536882013035,150
232,1273,33.49946927567218,150,33.49946927567218,False,0.020294886800592594,50,0.044890599595404354,False,0.00022370529448425392,132
233,1274,39.26791521299096,108,39.37755975485611,False,0.004957051848558235,133,0.014791941852319707,True,0.0002512606405089439,141
234,1275,34.31746183039539,145,34.3595987620796,False,0.012918921408742276,51,0.10767677821869961,False,0.0002388577504644442,149
235,1276,8.630278674218244,138,8.830971356683364,False,0.02644578723568662,132,0.04013586486749248,False,0.000468846636748499,150
236,1277,32.560575083888544,116,32.678014153231004,False,0.002764607588057178,72,0.05152959951395485,True,0.00011611438593668504,148
237,1278,23.06673142013264,103,23.40337675061267,False,0.013099266098836748,130,0.03884499388566476,False,0.0037843106661882052,150
238,1279,0.04091745226629996,150,0.04091745226629996,False,0.007535350917978567,69,0.03012184328911146,True,0.022935714576983998,150
239,1280,17.536620294414583,93,18.162907686734545,False,0.012388932214819274,96,0.052005943764088305,False,0.0008592882435161356,150
240,1281,15.605410171574718,117,15.681141074236933,False,0.010556202960565902,106,0.011454383819067014,False,0.0007860754361687985,134
241,1282,39.44473751507239,146,39.5443875524751,False,22.137657500749775,150,22.137657500749775,False,2.825276520768978,146
242,1283,21.195742161951713,150,21.195742161951713,False,22.00007178865382,97,22.239993103324707,False,2.838993977507794,150
243,1284,34.517435143699416,125,34.73880981205469,False,17.701530568414874,144,18.034053487698312,False,2.803941726783042,150
244,1285,0.0025154454449629643,114,0.010025567120361716,True,19.548265730776816,148,19.549176096079965,False,2.825958763928802,150
245,1286,37.94389382678791,122,38.225255034795914,False,0.0028651014697428172,68,0.08021798161213095,True,0.0055393100708462095,149
246,1287,29.042019397465047,147,29.16368325109915,False,0.006569631082590275,90,0.12653755976988693,True,0.000334729413805197,150
247,1288,17.175868286699938,132,17.65135210194395,False,22.545433573731458,100,22.63287105086746,False,2.8375803049695665,150
248,1289,23.916590850560404,150,23.916590850560404,False,0.016484349622283994,82,0.01878138487995192,False,3.4286298555425794,143
249,1290,17.893900545679486,149,18.028602490842808,False,22.145213586406065,125,22.220327448031842,False,2.818244074714269,148
250,1291,26.077151001195617,146,26.38983654942646,False,0.00683801342422463,62,0.15362677499781036,True,0.00012048661558768579,150
251,1292,0.024904135175374723,137,0.03801125017387377,False,21.9949461243963,142,22.021963375164113,False,2.803893495843716,148
252,1293,0.007697191517232315,150,0.007697191517232315,True,0.0016636720835293754,81,0.14295892113644976,True,0.00044378550721174876,138
253,1294,24.85903045595466,138,25.08040165025733,False,0.0057401514315414725,96,0.0342176333795347,True,0.0001526773069300598,138
254,1295,23.72854100547302,131,24.00126756301877,False,0.002771014274934806,132,0.011703820192679501,True,0.0002437077208817991,143
255,1296,10.31133653730301,149,11.242507731514241,False,0.012851082365000302,63,0.06195645268269484,False,3.439423345438214e-05,150
256,1297,39.25785830107457,99,39.505549834343576,False,17.302329517813032,104,17.4616022389639,False,2.8394123303516183,150
257,1298,20.21850350760655,125,20.6545860547023,False,0.02409502435332316,65,0.056595574247277944,False,3.9901070039752125e-05,138
258,1299,0.04957111784053167,145,0.09485094432404062,False,22.0419398442142,125,22.055354056577794,False,2.822860867073786,146
259,1300,17.54256302037409,150,17.54256302037409,False,0.034579638019843484,56,0.10709704148171109,False,5.1982790020495804e-05,150
260,1301,23.707470249306745,86,23.966741546545173,False,0.005811201026214607,111,0.007112425373406164,True,0.0005076009080997,150
261,1302,8.456494545997762,150,8.456494545997762,False,0.006953693134913209,108,0.013906937562984518,True,0.0007773792395992876,147
262,1303,37.1348607748864,124,37.35150464582614,False,0.0011870264363154426,97,0.2892886615537263,True,0.0003837848205338816,150
263,1304,29.373929166140925,146,29.932253346692097,False,0.0013296559326669251,107,0.005446660551157477,True,0.00012156594255982853,146
